#TYPE System.Management.Automation.PSCustomObject
"VM_Name","VM_Location","VM_ResourceGroupName","VM_BackedUp","VM_RecoveryVaultName","VM_RecoveryVaultPolicy","VM_BackupHealthStatus","VM_BackupProtectionStatus","VM_LastBackupStatus","VM_LastBackupTime","VM_BackupDeleteState","VM_BackupLatestRecoveryPoint","VM_Id","RecoveryVault_ResourceGroupName","RecoveryVault_Location","RecoveryVault_SubscriptionId"
"vm-prod-FileServer-asmwsr0105","southeastasia","RG-ASM-PROD-SERVER-01","True","rsv-prod-asse-lrsbackup-01","vm-long-01am-01","Passed","Healthy","Completed","28/03/2022 17:07:16","NotDeleted","28/03/2022 17:07:19","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-ASM-PROD-SERVER-01/providers/Microsoft.Compute/virtualMachines/vm-prod-FileServer-asmwsr0105","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-FileServer-camwsr0001","southeastasia","RG-CAM-PROD-SERVER-01","True","rsv-prod-asse-lrsbackup-01","vm-long-01am-01","Passed","Healthy","Completed","28/03/2022 17:08:03","NotDeleted","28/03/2022 17:08:06","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CAM-PROD-SERVER-01/providers/Microsoft.Compute/virtualMachines/vm-prod-FileServer-camwsr0001","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-domain-controller-shhwsrdc1017","southeastasia","RG-CIS-PROD-AD-02","True","rsv-prod-asse-lrsbackup-01","vm-short-01am-01","Passed","Healthy","Completed","28/03/2022 17:13:03","NotDeleted","28/03/2022 17:13:07","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-AD-02/providers/Microsoft.Compute/virtualMachines/vm-prod-domain-controller-shhwsrdc1017","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-domain-controller-shhwsrdc1018","southeastasia","RG-CIS-PROD-AD-02","True","rsv-prod-asse-lrsbackup-01","vm-short-01am-01","Passed","Healthy","Completed","28/03/2022 17:12:54","NotDeleted","28/03/2022 17:12:57","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-AD-02/providers/Microsoft.Compute/virtualMachines/vm-prod-domain-controller-shhwsrdc1018","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-Defender-Security-Server-for-NetScaler-VPN-AP1-shhwsr2136","southeastasia","RG-CIS-PROD-DEFENDER-01","True","rsv-prod-asse-lrsbackup-02","vm-short-01am-01","Passed","Healthy","Completed","29/03/2022 0:03:49","NotDeleted","29/03/2022 0:03:52","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-DEFENDER-01/providers/Microsoft.Compute/virtualMachines/vm-prod-Defender-Security-Server-for-NetScaler-VPN-AP1-shhwsr2136","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-02"
"slswsr0009","southeastasia","RG-CIS-PROD-LANDESKDEPOT-01","True","rsv-prod-asse-lrsbackup-01","vm-short-01am-01","Passed","Healthy","Completed","28/03/2022 17:08:53","NotDeleted","28/03/2022 17:08:56","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-LANDESKDEPOT-01/providers/Microsoft.Compute/virtualMachines/slswsr0009","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-1stDNSForwarderAzure-shhwsr2147","southeastasia","RG-CIS-PROD-NETWORK-02","True","rsv-prod-asse-lrsbackup-01","vm-short-01am-01","Passed","Healthy","Completed","28/03/2022 17:07:55","NotDeleted","28/03/2022 17:07:58","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-NETWORK-02/providers/Microsoft.Compute/virtualMachines/vm-prod-1stDNSForwarderAzure-shhwsr2147","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-2nd-dns-forwarder-shhwsr2151","southeastasia","RG-CIS-PROD-NETWORK-02","True","rsv-prod-asse-lrsbackup-01","vm-short-01am-01","Passed","Healthy","Completed","28/03/2022 17:12:01","NotDeleted","28/03/2022 17:12:06","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-NETWORK-02/providers/Microsoft.Compute/virtualMachines/vm-prod-2nd-dns-forwarder-shhwsr2151","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-localwebapplication-jsgwsr0072","southeastasia","RG-CIS-PROD-NETWORK-02","True","rsv-prod-asse-lrsbackup-01","vm-short-01am-01","Passed","Healthy","Completed","28/03/2022 17:11:26","NotDeleted","28/03/2022 17:11:29","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-NETWORK-02/providers/Microsoft.Compute/virtualMachines/vm-prod-localwebapplication-jsgwsr0072","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-lrsbackup-01"
"vm-prod-NPSserverPrimary-shhwsr2152","southeastasia","RG-CIS-PROD-NETWORK-02","True","rsv-prod-asse-grsbackup-01","vm-medium-01am-01","Passed","Healthy","Completed","28/03/2022 17:02:20","NotDeleted","28/03/2022 17:02:23","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/RG-CIS-PROD-NETWORK-02/providers/Microsoft.Compute/virtualMachines/vm-prod-NPSserverPrimary-shhwsr2152","rg-cis-prod-backup-01","southeastasia","/subscriptions/59c20947-4965-45c4-99f3-12be96106119/resourceGroups/rg-cis-prod-backup-01/providers/Microsoft.RecoveryServices/vaults/rsv-prod-asse-grsbackup-01"
