#TYPE Microsoft.Azure.Commands.RecoveryServices.Backup.Cmdlets.Models.AzureVmJob
"VmVersion","IsCancellable","IsRetriable","ErrorDetails","ActivityId","JobId","Operation","Status","WorkloadName","StartTime","EndTime","Duration","BackupManagementType"
"Compute","False","False",,"1dee760d-faf6-48b5-b58d-01f95f06933c","a17af185-a7cc-4c7c-b4f9-8bf9422e128a","Backup","Completed","shhwsr2226","11/17/2021 12:12:36 AM","11/17/2021 3:23:51 AM","03:11:15.2933703","AzureVM"
"Compute","False","False",,"3b7da9b7-7d38-45fd-aa7a-4200cd4f54b9","d639e539-7119-491d-99ed-f5f079759fbe","Backup","Completed","shhwsr2218","11/17/2021 12:08:27 AM","11/17/2021 2:59:53 AM","02:51:25.7935924","AzureVM"
"Compute","False","False",,"f6da0e48-f48b-4e63-99ef-6105ce4e1853","507b412e-e5a5-4363-ad32-9ccebd341a35","Backup","Completed","shhwsr2133","11/17/2021 12:04:06 AM","11/17/2021 2:55:25 AM","02:51:18.7402407","AzureVM"
"Compute","False","False",,"317733cc-dc5e-47e7-8caa-1da572502516","e84fb7ce-8211-4906-9de8-0d063531191b","Backup","Completed","tstshhwsr0283","11/16/2021 11:10:22 PM","11/17/2021 1:31:37 AM","02:21:15.5362662","AzureVM"
"Compute","False","False",,"5a32bda2-ee47-4e47-9ba3-c702946fd9cf","9fa6da13-0e76-452a-b17d-91c30d50f710","Backup","Completed","shhwsr1611","11/16/2021 11:09:02 PM","11/17/2021 1:30:16 AM","02:21:14.4084839","AzureVM"
"Compute","False","False",,"4089db13-8b2b-4824-b673-bc283ae1daa5","ed087da6-01f7-4d24-8eac-8d1b24fc99e0","Backup","Completed","shhwsr1138","11/16/2021 11:08:51 PM","11/17/2021 2:00:25 AM","02:51:34.1832489","AzureVM"
"Compute","False","False",,"ffcd8eba-7c19-4f17-9d94-049bc59b412f","69905b82-f708-4659-bb41-2f812815f909","Backup","Completed","shhwsr1604","11/16/2021 11:07:25 PM","11/17/2021 1:28:54 AM","02:21:29.3325556","AzureVM"
,"False","False",,"2210ed4f-a4cd-4a37-83d6-7c7d09f55c62","623ed2ef-6e1c-4555-b8ce-61d5111b8dc7","Backup (Full)","Completed","SF1 [shhlsr4001]","11/17/2021 11:00:02 AM","11/17/2021 11:06:30 AM","00:06:28.4794279","AzureWorkload"
,"False","False",,"17353e29-5c6c-4a5e-a8a1-d9b18674769c","ddcadca4-3714-4c11-a8a0-6fb41aeee4b0","Backup (Full)","Completed","XF1 [shhlsr4001]","11/17/2021 11:00:02 AM","11/17/2021 11:07:00 AM","00:06:58.5467057","AzureWorkload"
,"False","False",,"2091836c-ee49-4f9f-b3ea-9858ff932a1a","cae04dd5-3058-400e-b965-434bbe848d2f","Backup (Full)","Completed","SYSTEMDB [shhlsr4001]","11/17/2021 11:00:02 AM","11/17/2021 11:02:01 AM","00:01:59.6976100","AzureWorkload"
,"False","False",,"00ce1da7-3b1b-4c47-b497-1b2efa979dfe","752dc064-3e6f-4d1e-9252-69466ceb63e4","Backup (Full)","Completed","msdb [shhwsr2327]","11/17/2021 5:20:13 AM","11/17/2021 5:21:18 AM","00:01:04.7850832","AzureWorkload"
,"False","False",,"3c7155b2-cf5f-4ac0-8fe0-637e4d0d8a19","9d09e5d3-79d4-453e-92ed-99c51b2a2cfc","Backup (Full)","Completed","DBUtility [shhwsr2327]","11/17/2021 5:20:13 AM","11/17/2021 5:21:18 AM","00:01:04.7225841","AzureWorkload"
,"False","False",,"fe05fcc5-4812-495f-9d4a-dc4fadb0143a","a5650aa0-89e7-4291-b282-5ef4a572ffee","Backup (Full)","Completed","master [shhwsr2327]","11/17/2021 5:20:13 AM","11/17/2021 5:21:18 AM","00:01:04.6600317","AzureWorkload"
,"False","False",,"5fdb1352-c588-4c8d-894a-52f1265cb25a","0ee3defa-b204-4242-9632-5e709f75e9a7","Backup (Full)","Completed","model [shhwsr2327]","11/17/2021 5:20:13 AM","11/17/2021 5:21:18 AM","00:01:04.9569889","AzureWorkload"
,"False","False",,"ee6d49c0-86b2-49f5-91d0-5904b7d4051b","5b35ed99-481c-4554-8505-ccf27ce7f56a","Backup (Full)","Completed","SCHINDLER_AX63_DEV [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:47:16 AM","00:35:38.5100546","AzureWorkload"
,"False","False",,"846f0489-08c9-4c09-897a-a6f64146d34d","69e110c2-50be-4af1-a437-2d83dc167297","Backup (Full)","Completed","SCHINDLER_AX63_DEV_model [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:15:16 AM","00:03:38.6373734","AzureWorkload"
,"False","False",,"56bd6a26-10f5-452a-9c93-0f50dfe0fd33","77f7de3d-831c-4a49-a117-ed2ce4e468bc","Backup (Full)","Completed","ManagementReporter_DEV [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:15:17 AM","00:03:39.3249365","AzureWorkload"
,"False","False",,"5c375eb5-b81a-4407-b2d1-0e1471a5076a","84145ef1-9ea9-44e7-861c-68488f2ee910","Backup (Full)","Completed","master [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:12:47 AM","00:01:09.4969404","AzureWorkload"
,"False","False",,"3344149b-b3bc-44b2-8d91-8ffc639fd6e9","144be622-dcaf-47b1-b60a-eca980df00b5","Backup (Full)","Completed","msdb [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:12:47 AM","00:01:09.2469029","AzureWorkload"
,"False","False",,"0bc74673-1746-4f7f-936e-460b30c22e81","163bd028-c321-4926-b989-97fe3683efe4","Backup (Full)","Completed","model [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:12:47 AM","00:01:09.6688184","AzureWorkload"
,"False","False",,"eac8d0dd-ebdf-42a0-9f68-7921332ac877","1133fba9-ca99-4c6f-b4dc-ea71cae85ab2","Backup (Full)","Completed","ReportServerTempDB [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:12:47 AM","00:01:09.4031589","AzureWorkload"
,"False","False",,"31124a02-2f06-4e7c-b4bc-dd5c200b824b","4b5f7559-e390-496f-8396-f34532a5c058","Backup (Full)","Completed","DBUtility [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:12:48 AM","00:01:09.9344595","AzureWorkload"
,"False","False",,"11f8a46f-c9d2-4d1d-89ff-77678de6db39","c42e309f-7441-46ab-8998-995ceb27557b","Backup (Full)","Completed","ManagementReporterDM_DEV [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:15:46 AM","00:04:08.5155625","AzureWorkload"
,"False","False",,"52eaa3b2-c4b4-4b83-ba48-a1ce670d484f","80164c6a-15ba-4019-8d96-e42df621e535","Backup (Full)","Completed","ReportServer [milwsr4148]","11/17/2021 5:11:38 AM","11/17/2021 5:12:48 AM","00:01:10.2469838","AzureWorkload"
,"False","False",,"9be55608-321b-4eae-926b-3873709124ab","ed5c96e6-3eaa-4957-965b-87d004fe2e18","Backup (Full)","Completed","bitbucket_prod [shhwsr2305]","11/16/2021 7:35:00 PM","11/16/2021 7:36:12 PM","00:01:12.6346633","AzureWorkload"
,"False","False",,"22b344bf-4429-499b-a07e-3f7f6a308a51","3800fbb4-1ef2-43a4-bedd-b4c70cd8d032","Backup (Full)","Completed","master [shhwsr2234]","11/16/2021 7:34:50 PM","11/16/2021 7:35:57 PM","00:01:07.3351571","AzureWorkload"
