"Server","IP","Ping"
"shhwsr1632.global.schindler.com","10.10.64.88","True"
"shhwsr0002.global.schindler.com                                              ","not found","False"
"athwsr0001.global.schindler.com                                              ","not found","False"
"athwsr0002.global.schindler.com                                              ","not found","False"
"bucwsr0001.global.schindler.com                                              ","not found","False"
"uaewsr0001.global.schindler.com                                              ","not found","False"
"sofwsr0001.global.schindler.com                                              ","not found","False"
"slowsr0001.global.schindler.com                                              ","not found","False"
"lebwsr0001.global.schindler.com                                              ","not found","False"
"crowsr0001.global.schindler.com                                              ","not found","False"
"khwwsr0001.global.schindler.com                                              ","not found","False"
"espwsr0100.global.schindler.com                                              ","not found","False"
"scnwsr0104.global.schindler.com                                              ","not found","False"
"scnwsr0105.global.schindler.com                                              ","not found","False"
"espwsr0101.global.schindler.com                                              ","not found","False"
"srbwsr0001.global.schindler.com                                              ","not found","False"
"istwsr0001.global.schindler.com                                              ","not found","False"
"shhwsrcx0027.global.schindler.com","not found","False"
"tlvwsr0001.global.schindler.com                                            ","not found","False"
"uaewsr0003.global.schindler.com                                            ","not found","False"
"parwsr0002.global.schindler.com                                            ","not found","False"
"ukrwsr0001.global.schindler.com                                            ","not found","False"
"bruwsr0002.global.schindler.com                                            ","not found","False"
"jnbwsr0005.global.schindler.com                                            ","not found","False"
"hagwsr0004.global.schindler.com                                            ","not found","False"
"bahwsr0001.global.schindler.com                                            ","not found","False"
"kuwwsr0001.global.schindler.com                                            ","not found","False"
"shhwsr0214.global.schindler.com                                            ","not found","False"
"nzcwsr0001.global.schindler.com                                            ","not found","False"
"caswsr0001.global.schindler.com                                            ","not found","False"
"budwsr0001.global.schindler.com                                            ","not found","False"
"budwsr0001.global.schindler.com                                            ","not found","False"
"brawsr0001.global.schindler.com                                            ","not found","False"
"jstwsr0001.global.schindler.com                                            ","not found","False"
"jsgwsr0008.global.schindler.com                                            ","not found","False"
"jspwsr0101.global.schindler.com                                            ","not found","False"
"jktwsr1001.global.schindler.com                                            ","not found","False"
"cphwsr0001.global.schindler.com                                            ","not found","False"
"uaewsr0006.global.schindler.com                                            ","not found","False"
"secwsr0083.global.schindler.com                                            ","not found","False"
"rebwsr0001.global.schindler.com                                            ","not found","False"
"litwsr0002.global.schindler.com                                            ","not found","False"
"helwsr0001.global.schindler.com                                            ","not found","False"
"wiiwsr0009.global.schindler.com                                            ","not found","False"
"wiiwsr0008.global.schindler.com                                            ","not found","False"
"wiiwsr0007.global.schindler.com                                            ","not found","False"
"milwsr0105.global.schindler.com                                            ","not found","False"
"wiiwsr0010.global.schindler.com                                            ","not found","False"
"wiiwsr0011.global.schindler.com                                            ","not found","False"
"caiwsr0001.global.schindler.com                                            ","not found","False"
"scnwsr0030.global.schindler.com                                            ","not found","False"
"indwsr0007.global.schindler.com                                            ","not found","False"
"schwsr0033.global.schindler.com                                            ","not found","False"
"wiiwsr0001.global.schindler.com                                            ","not found","False"
"auswsr0010.global.schindler.com                                            ","not found","False"
"scnwsr0031.global.schindler.com                                            ","not found","False"
"wiiwsr0014.global.schindler.com                                            ","not found","False"
"ukcwsr0002.global.schindler.com                                            ","not found","False"
"secwsr0027.global.schindler.com                                            ","not found","False"
"mexwsr0001.global.schindler.com                                            ","not found","False"
"parwsr0023.global.schindler.com                                            ","not found","False"
"indwsr0009.global.schindler.com                                            ","not found","False"
"deswsr0002.global.schindler.com                                            ","not found","False"
"asmwsr0001.global.schindler.com                                            ","not found","False"
"wiiwsr0020.global.schindler.com                                            ","not found","False"
"skowsr0002.global.schindler.com                                            ","not found","False"
"auswsr0004.global.schindler.com                                            ","not found","False"
"sbawsr0002.global.schindler.com                                            ","not found","False"
"scnwsr0211.global.schindler.com                                            ","not found","False"
"indwsr0020.global.schindler.com                                            ","not found","False"
"scnwsr0212.global.schindler.com                                            ","not found","False"
"sedwsr0002.global.schindler.com                                            ","not found","False"
"auswsr0003.global.schindler.com                                            ","not found","False"
"espwsr0002.global.schindler.com                                            ","not found","False"
"espwsr0003.global.schindler.com                                            ","not found","False"
"limwsr0001.global.schindler.com                                            ","not found","False"
"slswsr0004.global.schindler.com                                            ","not found","False"
"wifwsr0020.global.schindler.com                                            ","not found","False"
"saowsr0002.global.schindler.com                                            ","not found","False"
"carwsr0001.global.schindler.com                                            ","not found","False"
"sanwsr0051.global.schindler.com                                            ","not found","False"
"wawwsr0003.global.schindler.com                                            ","not found","False"
"limwsr0003.global.schindler.com                                            ","not found","False"
"bogwsr0015.global.schindler.com                                            ","not found","False"
"saowsr0003.global.schindler.com                                            ","not found","False"
"wawwsr0021.global.schindler.com                                            ","not found","False"
"dohwsr0001.global.schindler.com                                            ","not found","False"
"slswsr0002.global.schindler.com                                            ","not found","False"
"prgwsr0001.global.schindler.com                                            ","not found","False"
"moswsr0001.global.schindler.com                                            ","not found","False"
"deuwsr0027.global.schindler.com                                            ","not found","False"
"vnmwsr0114.global.schindler.com                                            ","not found","False"
"porwsr0003.global.schindler.com                                            ","not found","False"
"jedwsr0001.global.schindler.com                                            ","not found","False"
"porwsr0002.global.schindler.com                                            ","not found","False"
"slswsr0114.global.schindler.com                                            ","not found","False"
"jtpwsr0001.global.schindler.com                                            ","not found","False"
"deuwsr0002.global.schindler.com                                            ","not found","False"
"uaewsr0007.global.schindler.com                                            ","not found","False"
"wawwsr1002.global.schindler.com                                            ","not found","False"
"tlvwsr0007.global.schindler.com                                            ","not found","False"
"moswsr0002.global.schindler.com                                            ","not found","False"
"locwsr0026.global.schindler.com                                            ","not found","False"
"caiwsr1001.global.schindler.com                                            ","not found","False"
"wiiwsr0006.global.schindler.com                                            ","not found","False"
"jktwsr0122.global.schindler.com                                            ","not found","False"
"mynwsr0101.global.schindler.com                                            ","not found","False"
"wiiwsr0021.global.schindler.com                                            ","not found","False"
"srbwsr0002.global.schindler.com                                            ","not found","False"
"prgwsr0007.global.schindler.com                                            ","not found","False"
"crowsr0002.global.schindler.com                                            ","not found","False"
"slowsr0004.global.schindler.com                                            ","not found","False"
"wiiwsr0003.global.schindler.com                                            ","not found","False"
"shhwsr1430.global.schindler.com                                            ","not found","False"
"shhwsr1632.global.schindler.com                                            ","not found","False"
"shhwsr1693.global.schindler.com                                            ","not found","False"
"shhwsr1630.global.schindler.com                                            ","not found","False"
"saowsr0035.global.schindler.com                                            ","not found","False"
"shhwsr1858.global.schindler.com                                            ","not found","False"
"shhwsr1841.global.schindler.com                                            ","not found","False"
"shhwsr1859.global.schindler.com                                            ","not found","False"
"shhwsr1626.global.schindler.com                                            ","not found","False"
"shhwsr1628.global.schindler.com                                            ","not found","False"
"shhwsr1875.global.schindler.com                                            ","not found","False"
"shhwsr1872.global.schindler.com                                            ","not found","False"
"shhwsr1874.global.schindler.com                                            ","not found","False"
"shhwsr1874.global.schindler.com                                            ","not found","False"
"shhwsr1950.global.schindler.com                                            ","not found","False"
"shhwsr2038.global.schindler.com                                            ","not found","False"
"shhwsr2039.global.schindler.com                                            ","not found","False"
"shhwsr2131.global.schindler.com                                            ","not found","False"
"shhwsr2051.global.schindler.com                                            ","not found","False"
"shhwsr2052.global.schindler.com                                            ","not found","False"
"shhwsr2053.global.schindler.com                                            ","not found","False"
"shhwsr2130.global.schindler.com                                            ","not found","False"
"shhwsr2130.global.schindler.com","not found","False"
