#TYPE Selected.System.Management.Automation.PSCustomObject
"PSComputerName","ObjectClass","Name"
"ASMWSR0101","User","ASMWSR0101\Administrator"
"ASMWSR0101","User","ASMWSR0101\Bvckup 2 Service"
"ASMWSR0101","Group","GLOBAL\ASM_RES_SY_ASMWSR0003_ADMIN"
"ASMWSR0101","Group","GLOBAL\ASM_RES_SY_SERVER_ADMIN"
"ASMWSR0101","Group","GLOBAL\ATH_RES_SY_SERVER_ADMIN"
"ASMWSR0101","Group","GLOBAL\AUS_RES_SY_SERVER_ADMIN"
"ASMWSR0101","Group","GLOBAL\Domain Admins"
"ASMWSR0101","Group","GLOBAL\SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0025","User","ASZWSR0025\Administrator"
"ASZWSR0025","User","ASZWSR0025\Viewer"
"ASZWSR0025","Group","GLOBAL\001_RES_SY_SERVER_ADMIN"
"ASZWSR0025","Group","GLOBAL\ASZ_RES_SY_ASZWSR0025_ADMIN"
"ASZWSR0025","Group","GLOBAL\ASZ_RES_SY_SERVER_ADMIN"
"ASZWSR0025","Group","GLOBAL\Domain Admins"
"ASZWSR0025","Group","GLOBAL\SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0025","Group","GLOBAL\SHH_RES_SY_SERVER_SQL-ADMIN"
"ASZWSR0026","User","ASZWSR0026\Administrator"
"ASZWSR0026","User","ASZWSR0026\Viewer"
"ASZWSR0026","Group","GLOBAL\001_RES_SY_SERVER_ADMIN"
"ASZWSR0026","Group","GLOBAL\ASZ_RES_SY_ASZWSR0026_ADMIN"
"ASZWSR0026","Group","GLOBAL\ASZ_RES_SY_SERVER_ADMIN"
"ASZWSR0026","Group","GLOBAL\Domain Admins"
"ASZWSR0026","Group","GLOBAL\SHH_RES_SY_SERVER_ADMIN"
"ASZWSR0026","Group","GLOBAL\SHH_RES_SY_SERVER_SQL-ADMIN"
"ATHWSR0003","User","ATHWSR0003\Administrator"
"ATHWSR0003","Group","GLOBAL\002_RES_SY_SERVER_ADMIN"
"ATHWSR0003","Group","GLOBAL\ATH_RES_SY_ATHWSR0003_ADMIN"
"ATHWSR0003","Group","GLOBAL\ATH_RES_SY_SERVER_ADMIN"
"ATHWSR0003","Group","GLOBAL\Domain Admins"
"ATHWSR0003","Group","GLOBAL\SHH_RES_SY_SERVER_ADMIN"
