"Server name","Details","Read username","Write username","Replicator","Sources count"
"asmwsr0104.global.schindler.com","DP ASM","global\svcshhldmssync","global\svcshhldmssync","ASMWSR0104","2"
"athwsr0003.global.schindler.com","DP ATH","global\svcshhldmssync","global\svcshhldmssync","ATHWSR0003","2"
"auswsr0012.global.schindler.com","DP AUS","global\svcshhldmssync","global\svcshhldmssync","AUSWSR0012","2"
"bahwsr0003.global.schindler.com","DP BAH","global\svcshhldmssync","global\svcshhldmssync","BAHWSR0003","2"
"bogwsr0017.global.schindler.com","DP BOG","global\svcshhldmssync","global\svcshhldmssync","BOGWSR0017","2"
"brawsr0003.global.schindler.com","DP BRA","global\svcshhldmssync","global\svcshhldmssync","BRAWSR0003","2"
"bruwsr0025.global.schindler.com","DP BRU ZZZ","global\svcshhldmssync","global\svcshhldmssync","BRUWSR0025","2"
"bucwsr0004.global.schindler.com","DP BUC","global\svcshhldmssync","global\svcshhldmssync","BUCWSR0004","2"
"budwsr0003.global.schindler.com","DP BUD","global\svcshhldmssync","global\svcshhldmssync","BUDWSR0003","2"
"caiwsr1001.global.schindler.com","DP CAI","global\svcshhldmssync","global\svcshhldmssync","CAIWSR1001","2"
"carwsr0012.global.schindler.com","DP CAR","global\svcshhldmssync","global\svcshhldmssync","","2"
"caswsr0005.global.schindler.com","DP CAS","global\svcshhldmssync","global\svcshhldmssync","CASWSR0005","2"
"crowsr0002.global.schindler.com","DP CRO","global\svcshhldmssync","global\svcshhldmssync","CROWSR0002","2"
"deswsr0006.global.schindler.com","DP DES","global\svcshhldmssync","global\svcshhldmssync","","2"
"deuwsr0035.global.schindler.com","DP DEU CPH","global\svcshhldmssync","global\svcshhldmssync","DEUWSR0035","3"
"dohwsr0003.global.schindler.com","DP DOH","global\svcshhldmssync","global\svcshhldmssync","DOHWSR0003","2"
"dswwsr0004.global.schindler.com","DP DSW SED","global\svcshhldmssync","global\svcshhldmssync","DSWWSR0004","2"
"espwsr0029.global.schindler.com","DP ESP POR","global\svcshhldmssync","global\svcshhldmssync","ESPWSR0029","3"
"hagwsr0012.global.schindler.com","DP HAG","global\svcshhldmssync","global\svcshhldmssync","HAGWSR0012","2"
"helwsr0006.global.schindler.com","DP HEL","global\svcshhldmssync","global\svcshhldmssync","HELWSR0006","2"
"indwsr0055.global.schindler.com","DP IND","global\svcshhldmssync","global\svcshhldmssync","","2"
"indwsr0058.global.schindler.com","DP IND","global\svcshhldmssync","global\svcshhldmssync","INDWSR0058","2"
"indwsr0061.global.schindler.com","DP IND","global\svcshhldmssync","global\svcshhldmssync","","2"
"indwsr0062.global.schindler.com","DP IND","global\svcshhldmssync","global\svcshhldmssync","INDWSR0062","2"
"istwsr0010.global.schindler.com","DP IST","global\svcshhldmssync","global\svcshhldmssync","ISTWSR0010","2"
"jedwsr0007.global.schindler.com","DP JED","global\svcshhldmssync","global\svcshhldmssync","JEDWSR0007","2"
"jktwsr0122.global.schindler.com","DP JKT","global\svcshhldmssync","global\svcshhldmssync","JKTWSR0122","2"
"jnbwsr0036.global.schindler.com","DP JNB NBO HAR","global\svcshhldmssync","global\svcshhldmssync","JNBWSR0036","2"
"jsgwsr0042.global.schindler.com","DP SHH JSG","global\svcshhldmssync","global\svcshhldmssync","JSGWSR0042","2"
"jspwsr0111.global.schindler.com","DP JSP","global\svcshhldmssync","global\svcshhldmssync","JSPWSR0111","2"
"jstwsr0002.global.schindler.com","DP JST","global\svcshhldmssync","global\svcshhldmssync","JSTWSR0002","2"
"jtpwsr0004.global.schindler.com","DP JTP","global\svcshhldmssync","global\svcshhldmssync","JTPWSR0004","2"
