"Date","FileSize","FolderName"
"2019-12-03","0.00 GB","DEU"
"2019-12-03","0.00 GB","PAR"
"2019-12-04","0.00 GB","DEU"
"2019-12-04","0.00 GB","PAR"
"2019-12-04","0.00 GB","UKC"
"2019-12-05","0.00 GB","DEU"
"2019-12-05","0.00 GB","PAR"
"2019-12-05","49.08 GB","UKC"
"2019-12-06","0.00 GB","DEU"
"2019-12-06","0.00 GB","PAR"
"2019-12-06","108.17 GB","UKC"
"2019-12-07","0.00 GB","DEU"
"2019-12-07","0.00 GB","PAR"
"2019-12-07","159.24 GB","UKC"
"2019-12-08","0.00 GB","DEU"
"2019-12-08","0.00 GB","PAR"
"2019-12-08","202.91 GB","UKC"
"2019-12-09","0.00 GB","DEU"
"2019-12-09","0.00 GB","PAR"
"2019-12-09","202.91 GB","UKC"
"2019-12-10","0.00 GB","DEU"
"2019-12-10","0.00 GB","PAR"
"2019-12-10","202.91 GB","UKC"
"2019-12-11","0.00 GB","DEU"
"2019-12-11","0.00 GB","PAR"
"2019-12-11","204.26 GB","UKC"
"2019-12-12","0.00 GB","DEU"
"2019-12-12","0.00 GB","PAR"
"2019-12-12","204.26 GB","UKC"
"2019-12-13","0.00 GB","DEU"
"2019-12-13","0.00 GB","PAR"
"2019-12-13","204.26 GB","UKC"
"2019-12-14","0.00 GB","DEU"
"2019-12-14","0.00 GB","PAR"
"2019-12-14","204.26 GB","UKC"
"2019-12-15","0.00 GB","DEU"
"2019-12-15","0.00 GB","PAR"
"2019-12-15","204.26 GB","UKC"
"2019-12-16","0.00 GB","DEU"
"2019-12-16","0.00 GB","PAR"
"2019-12-16","204.26 GB","UKC"
"2019-12-17","0.00 GB","DEU"
"2019-12-17","0.00 GB","PAR"
"2019-12-17","204.26 GB","UKC"
"2019-12-18","0.00 GB","DEU"
"2019-12-18","0.00 GB","PAR"
"2019-12-18","215.96 GB","UKC"
"2019-12-19","0.00 GB","DEU"
"2019-12-19","215.96 GB","UKC"
"2019-12-20","0.00 GB","DEU"
"2019-12-20","0.00 GB","ESP"
"2019-12-20","215.96 GB","UKC"
"2019-12-21","0.00 GB","DEU"
"2019-12-21","0.00 GB","ESP"
"2019-12-21","0.00 GB","PAR"
"2019-12-21","215.96 GB","UKC"
"2019-12-22","0.00 GB","DEU"
"2019-12-22","0.00 GB","ESP"
"2019-12-22","0.00 GB","PAR"
"2019-12-22","215.96 GB","UKC"
"2019-12-23","0.00 GB","DEU"
"2019-12-23","0.00 GB","ESP"
"2019-12-23","0.00 GB","PAR"
"2019-12-23","215.96 GB","UKC"
