#TYPE Selected.System.Management.Automation.PSCustomObject
"COMName","PSVersion","ExecutionPolicy","WinRMStatus","NetFXVersion"
"ASZWSR0017.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"ASZWSR0020.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"ASZWSR0023.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"ASZWSR0024.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"crdwsr0001.global.schindler.com","4.0","RemoteSigned","Running","4.5.51209"
"crdwsr0002.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"crdwsr0003.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"crdwsr0004.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"crdwsr0005.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"crdwsr0006.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"crdwsr0007.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0008.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0039.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0044.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0045.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0046.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0047.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0048.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0049.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0050.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0051.global.schindler.com","2.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0052.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0055.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0056.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0058.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0059.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0060.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"CRDWSR0061.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0062.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"CRDWSR0063.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"CRDWSR0064.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0065.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0066.global.schindler.com","3.0","RemoteSigned","Running","4.5.51209"
"CRDWSR0067.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0068.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"CRDWSR0069.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0070.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0071.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0072.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"CRDWSR0073.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"CRDWSR0074.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0076.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0077.global.schindler.com","3.0","Unrestricted","Running","4.5.51209"
"CRDWSR0078.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"CRDWSR0079.global.schindler.com","4.0","Restricted","Running","4.5.51209"
"CRDWSR0080.global.schindler.com","3.0","Restricted","Running","4.5.51209"
"CRDWSR0081.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
"CRDWSR0082.global.schindler.com","4.0","Unrestricted","Running","4.5.51209"
