#TYPE Selected.System.String
"SERVER","STATICROUTE01","STATICROUTE01_SUN","SCRIPT"
"ASZWSR0017.global.schindler.com","Deleted","Deleted","Deleted"
"ASZWSR0023.global.schindler.com","Deleted","Deleted","Deleted"
"ASZWSR0024.global.schindler.com","Deleted","Deleted","Deleted"
"ASZWSR0025.global.schindler.com","Deleted","Deleted","Deleted"
"ASZWSR0026.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0001.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0002.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0003.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0004.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0005.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0006.global.schindler.com","Deleted","Deleted","Deleted"
"crdwsr0007.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0008.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0039.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0044.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0045.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0046.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0047.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0048.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0049.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0050.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0051.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0052.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0055.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0056.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0058.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0059.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0060.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0061.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0062.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0063.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0064.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0065.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0066.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0067.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0068.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0069.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0070.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0071.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0072.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0073.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0074.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0076.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0077.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0078.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0079.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0080.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0081.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0082.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0083.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0084.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0085.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0086.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0087.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0088.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0089.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0090.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0091.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0092.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0093.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0094.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0095.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0096.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0097.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0098.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0099.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0100.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0101.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0102.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0103.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0104.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0105.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0106.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0107.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0108.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0109.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0110.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0111.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0112.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0113.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0114.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0115.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0116.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0117.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0118.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0119.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0120.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0121.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0122.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0123.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0124.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0125.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0126.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0127.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0128.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0129.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0130.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0132.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0133.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0134.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0135.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0137.global.schindler.com","Deleted","Deleted","Deleted"
"CRDWSR0138.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0001.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0002.global.schindler.com","Deleted","Deleted","Deleted"
"infwsr0003.global.schindler.com","Deleted","Deleted","Deleted"
"infwsr0004.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0005.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0008.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0010.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0011.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0012.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0013.global.schindler.com","Deleted","Deleted","Deleted"
"INFWSR0014.global.schindler.com","Deleted","Deleted","Deleted"
"INVWSR0001.global.schindler.com","Deleted","Deleted","Deleted"
"INVWSR0002.global.schindler.com","Deleted","Deleted","Deleted"
"INVWSR0003.global.schindler.com","Deleted","Deleted","Deleted"
"LOCWSR0025.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0001.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0002.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0003.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0004.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0005.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0006.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0007.global.schindler.com","Deleted","Deleted","Deleted"
"MANWSR0009.global.schindler.com","Deleted","Deleted","Deleted"
"schwsr0001.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0002.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0004.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0021.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0022.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0024.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0025.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0026.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0027.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0028.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0031.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0032.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0035.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0038.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0047.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0048.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0049.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0051.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0052.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0053.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0054.global.schindler.com","Deleted","Deleted","Deleted"
"SCHWSR0055.global.schindler.com","Deleted","Deleted","Deleted"
"SECWSR0105.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWFC001n01.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWFC001n02.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWFC001n03.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0001.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0002.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0003.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0004.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0005.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0006.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0007.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0008.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0010.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0011.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0012.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0013.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0014.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0015.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0021.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0023.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0024.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0025.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0029.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0030.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0032.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0038.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0039.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0040.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0041.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0042.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0043.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0050.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0053.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0054.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0055.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0057.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0058.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0060.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0061.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0062.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0063.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0064.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0065.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0066.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0067.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0069.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0070.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0072.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0073.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0074.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0075.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0084.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0092.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0093.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0096.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0097.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0098.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0099.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0100.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0101.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0102.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0105.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0106.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0107.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0108.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0109.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0115.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0116.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0117.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0118.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0119.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0123.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0124.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0125.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0127.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0129.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0130.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0131.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0132.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0133.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0134.global.schindler.com","Deleted","Deleted","Deleted"
"shhwsr0135.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0136.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0139.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0140.global.schindler.com","Deleted","Deleted","Deleted"
"SHHWSR0141.global.schindler.com","Deleted","Deleted","Deleted"
