#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"SHHWSR0482","Default Web Site","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - 1000","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - 80","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - 8082","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - 8083","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - 9090","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - dtfagora-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - FieldLinkDev.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - fieldwikipublishing-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - fieldwiki-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - gltwiki-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - intranetproject-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - KLWiki-quali.schindler.com","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - mysite-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - SalesWiki-quali.schindler.com","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - SEM2015-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - video-quali.schindler.com443","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint Web Services","D:\Logs\IISLogs"
"SHHWSR0482","SharePoint - eforms-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0482","sap","C:\inetpub\logs\LogFiles"
"SHHWSR0482","SharePoint - deu-ni-quali.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0482","SharePoint - deucommunityt.schindler.com443","C:\inetpub\logs\LogFiles"
"SHHWSR0524","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0524","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0524","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0467","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0467","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0467","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0409","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0409","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0410","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0410","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0411","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0411","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0411","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0521","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0521","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0478","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0478","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0501","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0501","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0502","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0502","SAP_Content_Server","d:\SAPLogFiles"
"SHHWSR0502","BackupCheck","C:\inetpub\logs\LogFiles"
"SHHWSR0402","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0402","SAP_Content_Server","C:\inetpub\logs\LogFiles"
"SHHWSR0402","BackupCheck","C:\inetpub\logs\LogFiles"
