#TYPE Selected.System.Management.ManagementObject
"__SERVER","ServerComment","Logfiledirectory"
"ASZWSR0023","Default Web Site","C:\inetpub\logs\LogFiles"
"ATHWSR0001","Default Web Site","C:\inetpub\logs\LogFiles"
"ATHWSRCX0001","Default Web Site","C:\inetpub\logs\LogFiles"
"INFWSR0003","Default Web Site","C:\inetpub\logs\LogFiles"
"INFWSR0005","sap","C:\inetpub\logs\LogFiles"
"INFWSR0005","DuetPoCDev","C:\inetpub\logs\LogFiles"
"INFWSR0005","DuetPOCDEVSSL","C:\inetpub\logs\LogFiles"
"INFWSR0005","Intranet","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 80","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8081","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8082","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8083","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8085","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8086","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8087","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 8088","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"INFWSR0005","IntelliDocX","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"INFWSR0005","SharePoint - 4301","C:\inetpub\logs\LogFiles"
"JSGWSR0003","Default Web Site","C:\inetpub\logs\LogFiles"
"JSGWSR0003","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"JSGWSR0003","SharePoint - 65517","C:\inetpub\logs\LogFiles"
"JSGWSR0003","SharePoint - 8080","C:\inetpub\logs\LogFiles"
"JSGWSR0003","SharePoint - 80","C:\inetpub\logs\LogFiles"
"JSGWSR0003","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"JSGWSR0012","Default Web Site","C:\inetpub\logs\LogFiles"
"JSGWSR0012","SolarWinds NetPerfMon","C:\inetpub\logs\LogFiles"
"JSGWSR0020","Default Web Site","C:\inetpub\logs\LogFiles"
"JSGWSR0020","SharePoint Web Services","C:\inetpub\logs\LogFiles"
"JSGWSR0020","SharePoint - 80","C:\inetpub\logs\LogFiles"
"JSGWSR0020","SharePoint Central Administration v4","C:\inetpub\logs\LogFiles"
"SCHWSR0031","Default Web Site","C:\inetpub\logs\LogFiles"
"SHHWSR0004","Default Web Site","C:\inetpub\logs\LogFiles"
