#TYPE Selected.System.Int32
"PSComputerName","Value"
"ASZWSR0010.global.schindler.com","RemoteSigned"
"ASZWSR0011.global.schindler.com","RemoteSigned"
"ASZWSR0012.global.schindler.com","RemoteSigned"
"ASZWSR0013.global.schindler.com","RemoteSigned"
"ASZWSR0014.global.schindler.com","RemoteSigned"
"ASZWSR0015.global.schindler.com","RemoteSigned"
"ASZWSR0016.global.schindler.com","RemoteSigned"
"ASZWSR0017.global.schindler.com","RemoteSigned"
"ASZWSR0018.global.schindler.com","Restricted"
"ASZWSR0019.global.schindler.com","RemoteSigned"
"ASZWSR0024.global.schindler.com","Restricted"
"ATHWSR0001.global.schindler.com","RemoteSigned"
"ATHWSR0002.global.schindler.com","RemoteSigned"
"ATHWSRCX0001.global.schindler.com","RemoteSigned"
"CRDWSR0001.global.schindler.com","RemoteSigned"
"CRDWSR0002.global.schindler.com","RemoteSigned"
"CRDWSR0003.global.schindler.com","RemoteSigned"
"CRDWSR0004.global.schindler.com","RemoteSigned"
"CRDWSR0005.global.schindler.com","RemoteSigned"
"CRDWSR0006.global.schindler.com","RemoteSigned"
"CRDWSR0007.global.schindler.com","RemoteSigned"
"CRDWSR0008.global.schindler.com","RemoteSigned"
"CRDWSR0009.global.schindler.com","RemoteSigned"
"CRDWSR0010.global.schindler.com","RemoteSigned"
"CRDWSR0011.global.schindler.com","RemoteSigned"
"CRDWSR0012.global.schindler.com","RemoteSigned"
"CRDWSR0019.global.schindler.com","RemoteSigned"
"CRDWSR0020.global.schindler.com","RemoteSigned"
"CRDWSR0021.global.schindler.com","RemoteSigned"
"CRDWSR0022.global.schindler.com","RemoteSigned"
"CRDWSR0029.global.schindler.com","RemoteSigned"
"CRDWSR0030.global.schindler.com","RemoteSigned"
"CRDWSR0031.global.schindler.com","RemoteSigned"
"CRDWSR0032.global.schindler.com","RemoteSigned"
"CRDWSR0039.global.schindler.com","RemoteSigned"
"CRDWSR0040.global.schindler.com","RemoteSigned"
"CRDWSR0041.global.schindler.com","RemoteSigned"
"CRDWSR0042.global.schindler.com","RemoteSigned"
"CRDWSR0044.global.schindler.com","RemoteSigned"
"CRDWSR0045.global.schindler.com","RemoteSigned"
"CRDWSR0046.global.schindler.com","RemoteSigned"
"CRDWSR0047.global.schindler.com","RemoteSigned"
"CRDWSR0048.global.schindler.com","RemoteSigned"
"CRDWSR0049.global.schindler.com","RemoteSigned"
"CRDWSR0050.global.schindler.com","RemoteSigned"
"CRDWSR0051.global.schindler.com","RemoteSigned"
"CRDWSR0052.global.schindler.com","RemoteSigned"
"CRDWSR0054.global.schindler.com","RemoteSigned"
"CRDWSR0055.global.schindler.com","RemoteSigned"
"CRDWSR0056.global.schindler.com","RemoteSigned"
"CRDWSR0057.global.schindler.com","RemoteSigned"
"CRDWSR0058.global.schindler.com","RemoteSigned"
"CRDWSR0059.global.schindler.com","RemoteSigned"
"CRDWSR0060.global.schindler.com","Restricted"
"CRDWSR0061.global.schindler.com","RemoteSigned"
"CRDWSR0062.global.schindler.com","RemoteSigned"
"CRDWSR0063.global.schindler.com","RemoteSigned"
"CRDWSR0064.global.schindler.com","RemoteSigned"
"CRDWSR0065.global.schindler.com","RemoteSigned"
"CRDWSR0066.global.schindler.com","RemoteSigned"
"CRDWSR0067.global.schindler.com","Restricted"
"CRDWSR0068.global.schindler.com","Restricted"
"CRDWSR0069.global.schindler.com","Restricted"
"CRDWSR0070.global.schindler.com","Restricted"
"CRDWSR0071.global.schindler.com","Restricted"
"CRDWSR0072.global.schindler.com","Unrestricted"
"CRDWSR0073.global.schindler.com","Unrestricted"
"CRDWSR0074.global.schindler.com","Restricted"
"CRDWSR0075.global.schindler.com","Restricted"
"CRDWSR0076.global.schindler.com","Restricted"
"CRDWSR0077.global.schindler.com","Unrestricted"
"CRDWSR0078.global.schindler.com","Restricted"
"CRDWSR0079.global.schindler.com","Restricted"
"CRDWSR0080.global.schindler.com","Restricted"
"CRDWSR0081.global.schindler.com","Unrestricted"
"CRDWSR0082.global.schindler.com","Unrestricted"
"CRDWSR0083.global.schindler.com","Unrestricted"
"INFWSR0001.global.schindler.com","RemoteSigned"
"INFWSR0002.global.schindler.com","RemoteSigned"
"INFWSR0003.global.schindler.com","RemoteSigned"
"INFWSR0004.global.schindler.com","RemoteSigned"
"INFWSR0005.global.schindler.com","RemoteSigned"
"INFWSR0008.global.schindler.com","RemoteSigned"
"INFWSR0010.global.schindler.com","RemoteSigned"
"INFWSR0011.global.schindler.com","RemoteSigned"
"INFWSR0012.global.schindler.com","Unrestricted"
"INFWSR0014.global.schindler.com","RemoteSigned"
"JSGWSR0001.global.schindler.com","RemoteSigned"
"JSGWSR0002.global.schindler.com","RemoteSigned"
"JSGWSR0003.global.schindler.com","RemoteSigned"
"JSGWSR0006.global.schindler.com","RemoteSigned"
"JSGWSR0007.global.schindler.com","RemoteSigned"
"JSGWSR0008.global.schindler.com","RemoteSigned"
"JSGWSR0009.global.schindler.com","RemoteSigned"
"JSGWSR0010.global.schindler.com","RemoteSigned"
"JSGWSR0011.global.schindler.com","RemoteSigned"
"JSGWSR0012.global.schindler.com","RemoteSigned"
"JSGWSR0013.global.schindler.com","RemoteSigned"
"JSGWSR0015.global.schindler.com","RemoteSigned"
"JSGWSR0017.global.schindler.com","RemoteSigned"
"JSGWSR0018.global.schindler.com","RemoteSigned"
"JSGWSR0019.global.schindler.com","RemoteSigned"
"JSGWSR0020.global.schindler.com","Unrestricted"
"JSGWSR0021.global.schindler.com","RemoteSigned"
"JSGWSR0022.global.schindler.com","RemoteSigned"
"JSGWSR0023.global.schindler.com","RemoteSigned"
"JSGWSR0024.global.schindler.com","RemoteSigned"
"JSGWSR0025.global.schindler.com","RemoteSigned"
"JSGWSR0026.global.schindler.com","RemoteSigned"
"JSGWSR0028.global.schindler.com","RemoteSigned"
"JSGWSR0029.global.schindler.com","RemoteSigned"
"JSGWSR0030.global.schindler.com","RemoteSigned"
"JSGWSR0031.global.schindler.com","RemoteSigned"
"JSGWSR0032.global.schindler.com","Restricted"
"MANWSR0001.global.schindler.com","RemoteSigned"
"MANWSR0002.global.schindler.com","RemoteSigned"
"MANWSR0003.global.schindler.com","RemoteSigned"
"MANWSR0004.global.schindler.com","RemoteSigned"
"PRGWSR0003.GLOBAL.SCHINDLER.COM","RemoteSigned"
"SCHWSR0001.global.schindler.com","RemoteSigned"
"SCHWSR0002.global.schindler.com","RemoteSigned"
"SCHWSR0003.global.schindler.com","RemoteSigned"
"SCHWSR0004.global.schindler.com","RemoteSigned"
"SCHWSR0005.global.schindler.com","RemoteSigned"
"SCHWSR0006.global.schindler.com","RemoteSigned"
"SCHWSR0009.global.schindler.com","RemoteSigned"
"SCHWSR0010.global.schindler.com","RemoteSigned"
"SCHWSR0011.global.schindler.com","RemoteSigned"
"SCHWSR0012.global.schindler.com","RemoteSigned"
"SCHWSR0013.global.schindler.com","RemoteSigned"
"SCHWSR0014.global.schindler.com","RemoteSigned"
"SCHWSR0015.global.schindler.com","RemoteSigned"
"SCHWSR0016.global.schindler.com","RemoteSigned"
"SCHWSR0017.global.schindler.com","RemoteSigned"
"SCHWSR0018.global.schindler.com","RemoteSigned"
"SCHWSR0019.global.schindler.com","RemoteSigned"
"SCHWSR0020.global.schindler.com","RemoteSigned"
"SCHWSR0021.global.schindler.com","RemoteSigned"
"SCHWSR0022.global.schindler.com","RemoteSigned"
"SCHWSR0023.global.schindler.com","RemoteSigned"
"SCHWSR0024.global.schindler.com","RemoteSigned"
"SCHWSR0025.global.schindler.com","RemoteSigned"
"SCHWSR0026.global.schindler.com","RemoteSigned"
"SCHWSR0027.global.schindler.com","RemoteSigned"
"SCHWSR0030.global.schindler.com","RemoteSigned"
"SCHWSR0031.global.schindler.com","RemoteSigned"
"SCHWSR0032.global.schindler.com","RemoteSigned"
"SCHWSR0033.global.schindler.com","RemoteSigned"
"SCHWSR0034.global.schindler.com","RemoteSigned"
"SCHWSR0035.global.schindler.com","Unrestricted"
"SCHWSR0036.global.schindler.com","Restricted"
"SCHWSR0037.global.schindler.com","Restricted"
"SCHWSR0038.global.schindler.com","Restricted"
"SCHWSR0043.global.schindler.com","RemoteSigned"
"SCHWSR0044.global.schindler.com","Restricted"
"SCHWSR0045.global.schindler.com","Restricted"
"SCHWSR0046.global.schindler.com","Restricted"
"SHHWSR0001.global.schindler.com","RemoteSigned"
"SHHWSR0002.global.schindler.com","RemoteSigned"
"SHHWSR0003.global.schindler.com","RemoteSigned"
"SHHWSR0004.global.schindler.com","RemoteSigned"
"SHHWSR0005.global.schindler.com","RemoteSigned"
"SHHWSR0006.global.schindler.com","RemoteSigned"
"SHHWSR0007.global.schindler.com","RemoteSigned"
"SHHWSR0008.global.schindler.com","RemoteSigned"
"SHHWSR0010.global.schindler.com","RemoteSigned"
"SHHWSR0011.global.schindler.com","RemoteSigned"
"SHHWSR0013.global.schindler.com","RemoteSigned"
"SHHWSR0014.global.schindler.com","RemoteSigned"
"SHHWSR0015.global.schindler.com","Unrestricted"
"SHHWSR0021.global.schindler.com","RemoteSigned"
"SHHWSR0022.global.schindler.com","RemoteSigned"
"SHHWSR0023.global.schindler.com","RemoteSigned"
"SHHWSR0024.global.schindler.com","Unrestricted"
