#TYPE Selected.System.Management.ManagementObject
"__SERVER","DisplayName","State","startname"
"SHHWSR0393","Application Experience","Stopped","localSystem"
"SHHWSR0393","Application Layer Gateway Service","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Application Host Helper Service","Running","LocalSystem"
"SHHWSR0393","Application Identity","Stopped","NT Authority\LocalService"
"SHHWSR0393","Application Information","Running","LocalSystem"
"SHHWSR0393","Application Management","Stopped","LocalSystem"
"SHHWSR0393","ASP.NET State Service","Stopped","NT AUTHORITY\NetworkService"
"SHHWSR0393","Windows Audio Endpoint Builder","Stopped","LocalSystem"
"SHHWSR0393","Windows Audio","Stopped","NT AUTHORITY\LocalService"
"SHHWSR0393","Base Filtering Engine","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Background Intelligent Transfer Service","Stopped","LocalSystem"
"SHHWSR0393","NetBackup Bare Metal Restore Boot Server","Stopped","LocalSystem"
"SHHWSR0393","Computer Browser","Stopped","LocalSystem"
"SHHWSR0393","LANDesk(R) Management Agent","Running","LocalSystem"
"SHHWSR0393","Certificate Propagation","Running","LocalSystem"
"SHHWSR0393","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","LocalSystem"
"SHHWSR0393","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","LocalSystem"
"SHHWSR0393","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","LocalSystem"
"SHHWSR0393","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","LocalSystem"
"SHHWSR0393","COM+ System Application","Running","LocalSystem"
"SHHWSR0393","Creo Elements/Direct License Server","Running","LocalSystem"
"SHHWSR0393","Cryptographic Services","Running","NT Authority\NetworkService"
"SHHWSR0393","DCOM Server Process Launcher","Running","LocalSystem"
"SHHWSR0393","Disk Defragmenter","Stopped","localSystem"
"SHHWSR0393","DHCP Client","Running","NT Authority\LocalService"
"SHHWSR0393","Diagnostics Tracking Service","Running","LocalSystem"
"SHHWSR0393","DNS Client","Running","NT AUTHORITY\NetworkService"
"SHHWSR0393","Wired AutoConfig","Stopped","localSystem"
"SHHWSR0393","Diagnostic Policy Service","Running","NT AUTHORITY\LocalService"
"SHHWSR0393","Extensible Authentication Protocol","Stopped","localSystem"
