Recommendation;Subscription ID;Subscription Name;Resource Group;Resource Name;Type;Updated Date;Recommendation rule;Potential Annual Retail Cost Savings;Potential Cost Savings Currency;Potential Cost Savings Percentage;CPU (%);Network (%);Memory (%);Look Back Period (Days);Recommended action 1;Recommended action 2
Right-size or shutdown underutilized virtual machines;4ecf3830-c880-4410-9c3b-21919c807bad;s-sis-ch-prod-01 (4ecf3830-c880-4410-9c3b-21919c807bad);rg-crd-prod-lblcapplication-01;crdwsr0198;Virtual machine;2023-05-04T02:10:29.670Z;CPU utilization < 20%;20,112.00;USD;;7;0;20;7;Resize Standard_M32ls to Standard_M8-4ms;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-cis-prod-iccs-01;shhlsr0134;Virtual machine;2023-05-04T02:10:17.162Z;CPU utilization < 20%;2,484.00;USD;;9;0;16;7;Resize Standard_F8s_v2 to Standard_F2s_v2;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-cis-prod-landeskdepot-01;shhwsr1999;Virtual machine;2023-05-04T02:24:02.414Z;CPU utilization < 20%;11,280.00;USD;;8;0;12;7;Resize Standard_F16s_v2 to Standard_D2s_v3;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-cis-prod-solarwinds-01;shhwsr2300;Virtual machine;2023-05-04T02:53:16.933Z;CPU utilization < 20%;9,552.00;USD;;12;0;25;7;Resize Standard_F16s_v2 to Standard_D4s_v3;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-man-prod-esrigeoevent-01;shhwsr2373;Virtual machine;2023-05-04T02:27:09.434Z;CPU utilization < 20%;5,160.00;USD;;18;0;17;7;Resize Standard_D8s_v3 to Standard_D2s_v3;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-mil-prod-dynamics-01;milwsr4155;Virtual machine;2023-05-04T02:53:14.683Z;CPU utilization < 20%;5,160.00;USD;;15;0;18;7;Resize Standard_D8s_v3 to Standard_D2s_v3;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-mil-prod-dynamics-01;milwsr4159;Virtual machine;2023-05-04T02:24:02.289Z;CPU utilization < 20%;9,744.00;USD;;6;0;11;7;Resize Standard_F16s_v2 to Standard_F4s_v2;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-applicationcitrix-01;testvdisk01;Virtual machine;2023-05-04T03:33:51.427Z;CPU utilization < 20%;1,716.00;USD;;1;0;100;7;Shut down the virtual machine;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-beyondtrustremotesupport-01;shhxap0298;Virtual machine;2023-05-04T02:20:42.451Z;CPU utilization < 20%;312.00;USD;;6;0;17;7;Resize Standard_DS2_v2 to Standard_F2s_v2;View Usage Patterns
Right-size or shutdown underutilized virtual machines;505ead1a-5a5f-4363-9b72-83eb2234a43d;s-sis-eu-prod-01 (505ead1a-5a5f-4363-9b72-83eb2234a43d);rg-shh-prod-claroty-01;shhxap0319;Virtual machine;2023-05-04T02:12:27.302Z;CPU utilization < 20%;10,836.00;USD;;3;0;23;7;Resize Standard_F32s_v2 to Standard_E4-2s_v3;View Usage Patterns
