Backup Instance;Container;Resource Group;Policy;Latest Recovery Point;Vault;Azure Resource;Datasource Type;
shhlsr4002;shhlsr4002;rg-gis-test-saphanapoc-01;vm-medium-01am-01;8/4/2021, 2:18:11 AM;RSV-NONPROD-EUNO-LRSBACKUP-01;SHHLSR4002;Microsoft.Compute/virtualMachines;
shhlsr4005;shhlsr4005;rg-gis-test-saphanapoc-01;vm-medium-01am-01;8/4/2021, 2:24:19 AM;RSV-NONPROD-EUNO-LRSBACKUP-01;SHHLSR4005;Microsoft.Compute/virtualMachines;
shhlsr4003;shhlsr4003;rg-gis-test-saphanapoc-01;vm-medium-01am-01;8/5/2021, 2:16:41 AM;RSV-NONPROD-EUNO-LRSBACKUP-01;SHHLSR4003;Microsoft.Compute/virtualMachines;
shhlsr4004;shhlsr4004;rg-gis-test-saphanapoc-01;vm-medium-01am-01;8/5/2021, 2:22:05 AM;RSV-NONPROD-EUNO-LRSBACKUP-01;SHHLSR4004;Microsoft.Compute/virtualMachines;
crd_softguard;crdwsr0197;rg-crd-prod-migration-01;(none);9/22/2021, 6:39:11 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;CRDWSR0197;SQLDataBase;
schindlercrdna;crdwsr0197;rg-crd-prod-migration-01;(none);9/22/2021, 7:05:11 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;CRDWSR0197;SQLDataBase;
erwindatamodel;shhwsr2232;rg-cis-prod-sql-01;(none);9/27/2021, 2:27:11 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;SHHWSR2232;SQLDataBase;
erwindatamodel_webportal;shhwsr2232;rg-cis-prod-sql-01;(none);9/27/2021, 2:28:10 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;SHHWSR2232;SQLDataBase;
shhlsr8004;shhlsr8004;rg-gis-test-saphanapoc-01;vm-medium-01am-01;10/1/2021, 2:21:00 AM;RSV-NONPROD-EUNO-LRSBACKUP-01;SHHLSR8004;Microsoft.Compute/virtualMachines;
epm20_test;shhwsr2319;rg-shh-prod-landeskclientsql;(none);10/14/2021, 9:31:07 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;SHHWSR2319;SQLDataBase;
shhxap0292;shhxap0292;rg-sis-qual-commvault-01;vm-short-01am-01;11/29/2021, 12:27:53 AM;RSV-NONPROD-EUNO-LRSBACKUP-01;SHHXAP0292;Microsoft.Compute/virtualMachines;
bitbucket_prod;shhwsr2314;rg-cis-prod-sql-01;(none);12/9/2021, 9:36:18 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;SHHWSR2314;SQLDataBase;
confluence;shhwsr2314;rg-cis-prod-sql-01;(none);12/9/2021, 9:36:18 PM;RSV-PROD-EUNO-GRSBACKUPSQL-01;SHHWSR2314;SQLDataBase;
