#TYPE System.Management.Automation.PSCustomObject
"Backup Instance";"Container";"Resource Group";"Policy";"Latest Recovery Point";"Vault";"Azure Resource";"Datasource Type"
"crdwsr0203";"crdwsr0203";"rg-crd-test-benchmarking-01";"(none)";"4/1/2022, 2:00:32 AM";"RSV-NONPROD-CHNO-LRSBACKUP-01";"CRDWSR0203";"Microsoft.Compute/virtualMachines"
"shhwsr2252";"shhwsr2252";"rg-shh-dev-liftdesigner-01";"(none)";"5/16/2022, 1:32:56 AM";"RSV-NONPROD-EUNO-LRSBACKUP-01";"SHHWSR2252";"Microsoft.Compute/virtualMachines"
"shhwsr2253";"shhwsr2253";"rg-shh-dev-liftdesigner-01";"(none)";"6/6/2022, 1:26:52 AM";"RSV-NONPROD-EUNO-LRSBACKUP-01";"SHHWSR2253";"Microsoft.Compute/virtualMachines"
"shhwsr0536";"shhwsr0536";"rg-shh-prod-sapprintserver-01";"(none)";"7/14/2022, 2:13:03 AM";"RSV-PROD-EUNO-LRSBACKUP-02";"SHHWSR0536";"Microsoft.Compute/virtualMachines"
"athwsr0005";"athwsr0005";"rg-cis-prod-printserver-03";"(none)";"8/1/2022, 1:20:39 AM";"RSV-PROD-EUNO-LRSBACKUP-02";"ATHWSR0005";"Microsoft.Compute/virtualMachines"
"shhwsrcx4044";"shhwsrcx4044";"rg-gis-prod-myleegoo-01";"(none)";"9/19/2022, 2:20:12 AM";"RSV-PROD-EUNO-LRSBACKUP-02";"SHHWSRCX4044";"Microsoft.Compute/virtualMachines"
"shhwsrcx4045";"shhwsrcx4045";"rg-gis-prod-myleegoo-01";"(none)";"9/19/2022, 2:26:06 AM";"RSV-PROD-EUNO-LRSBACKUP-02";"SHHWSRCX4045";"Microsoft.Compute/virtualMachines"
"shhwsrcx3040";"shhwsrcx3040";"rg-gis-nonprod-myleegoo-01";"(none)";"9/20/2022, 2:08:31 AM";"RSV-NONPROD-EUNO-LRSBACKUP-02";"SHHWSRCX3040";"Microsoft.Compute/virtualMachines"
"shhwsrcx3054";"shhwsrcx3054";"rg-gis-nonprod-myleegoo-01";"(none)";"9/27/2022, 2:13:59 AM";"RSV-NONPROD-EUNO-LRSBACKUP-02";"SHHWSRCX3054";"Microsoft.Compute/virtualMachines"
"shhwsr2323";"shhwsr2323";"rg-shh-qual-bcmiccsdb-02";"(none)";"10/20/2022, 2:06:35 AM";"RSV-NONPROD-EUNO-LRSBACKUP-02";"SHHWSR2323";"Microsoft.Compute/virtualMachines"
"schwsr0100";"schwsr0100";"rg-sch-prod-ukasolutions-01";"(none)";"11/21/2022, 12:04:27 AM";"RSV-PROD-EUNO-LRSBACKUP-01";"SCHWSR0100";"Microsoft.Compute/virtualMachines"
"schwsr0108";"schwsr0108";"rg-sch-prod-ukasolutions-01";"(none)";"11/21/2022, 1:05:01 AM";"RSV-PROD-EUNO-LRSBACKUP-01";"SCHWSR0108";"Microsoft.Compute/virtualMachines"
"shhwsr0946";"shhwsr0946";"rg-shh-prod-symantec-01";"(none)";"11/24/2022, 1:14:33 AM";"RSV-PROD-EUNO-LRSBACKUP-02";"SHHWSR0946";"Microsoft.Compute/virtualMachines"
